timestamp,token_address,token_symbol,profit_percent,buy_pool,sell_pool,buy_price,sell_price,liquidity_usd,volume_24h
2025-06-25 04:29:37,6FtbGaqgZzti1TxJksBV4PSya5of9VqA9vJNDxPwbonk,gib,1.83,meteora,raydium,0.000014,0.000014,2948,68374
2025-06-25 04:30:22,EBCqxfSMVSJPDGFLcf2yAfQoeLJRD1z8VbEUemZSbonk,shiyo,0.99,meteora,raydium,0.000001,0.000001,2725,561964
2025-06-25 04:30:43,HtrmuNs4nESVg5i8gHyufDpGN5HHKqPmFfbQV9yupump,lolcoin,6.27,meteora,meteora,0.000024,0.000026,7564,203023
2025-06-25 04:30:53,97PVGU2DzFqsAWaYU17ZBqGvQFmkqtdMywYBNPAfy8vy,STARTUP,2.24,orca,meteora,0.000069,0.000071,14827,404030
2025-06-25 04:31:05,8Q8KPBL21FVatn2C1EaxAQSorAkHW2W2jDUXapVPZmhm,OSCAR,2.60,meteora,pumpswap,0.000003,0.000003,8284,1019462
2025-06-25 04:31:42,95fRjLnCXVAviW9uAFejzMTtwgGtpM9ux39B3hbApump,italo,3.87,pumpswap,meteora,0.000001,0.000001,3168,42142
2025-06-25 04:32:09,5iooMHkYiJRM9bsBVtKUT5J7JwuzJq6758iUhb9Epump,anus,15.50,pumpswap,meteora,0.000001,0.000001,2449,863412
2025-06-25 04:32:39,69LjZUUzxj3Cb3Fxeo1X4QpYEQTboApkhXTysPpbpump,CODEC,8.89,meteora,meteora,0.000027,0.000029,5102,19405
2025-06-25 04:33:19,fRfKGCriduzDwSudCwpL7ySCEiboNuryhZDVJtr1a1C,DUPE,1.65,meteora,meteora,0.000149,0.000153,619807,488591
2025-06-25 04:33:37,GdZ9rwHyKcriLdbSzhtEFLe5MLs7Vk6AY1aE5ei7nsmP,AVO,2.63,orca,meteora,0.000005,0.000005,7896,48662
2025-06-25 04:34:05,FtTSDNLD5mMLn3anqEQpy44cRdrtAJRrLX2MKXxfpump,retard,1.54,meteora,pumpswap,0.000017,0.000017,3869,431390
2025-06-25 04:34:29,sxv1symoD4WXjpeXCs5USFEyt8hBhmCuuptLjA8uRNy,GEM,4.73,meteora,raydium,0.000003,0.000003,8533,10832
2025-06-25 04:34:44,HxptKywiNbHobJD4XMMBn1czMUGkdMrUkeUErQLKbonk,GOGS,4.67,raydium,meteora,0.000005,0.000005,85196,129467
2025-06-25 04:35:18,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,$WIF,2.20,orca,meteora,0.871300,0.896600,21019,9619
2025-06-25 04:35:18,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,DIO,71979.27,raydium,raydium,0.002851,2.055000,67577,19931
2025-06-25 04:35:24,jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,JTO,1.13,meteora,orca,2.075780,2.113800,6378,7137
2025-06-25 04:35:25,GvRf47WPg9uaYcyXEs5UxHL2D39P7yTByBDrQcyMk5wg,ZEUZ,1.45,meteora,orca,0.000007,0.000007,8782,79244
2025-06-25 04:35:37,J27UYHX5oeaG1YbUGQc8BmJySXDjNWChdGB2Pi2TMDAq,PCULE,2.85,meteora,meteora,0.000051,0.000053,33588,176735
2025-06-25 04:35:42,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,RAY,0.54,raydium,orca,2.054720,2.080250,48163,107844
2025-06-25 04:35:46,6MQpbiTC2YcogidTmKqMLK82qvE9z5QEm7EP3AEDpump,MASK,2.78,meteora,meteora,0.000086,0.000089,46562,291966
2025-06-25 04:35:52,9wK8yN6iz1ie5kEJkvZCTxyN1x5sTdNfx8yeMY8Ebonk,Hosico,1.67,meteora,meteora,0.000164,0.000168,4780,424048
2025-06-25 04:36:32,5DkLaee4Ctm9v8bka1zGeuPUTbngZaznZsc1t3L4pump,ZENAI,5.22,meteora,orca,0.000005,0.000006,7500,19498
2025-06-25 04:36:36,7xKXtg2CW87d97TXJSDpbD5jBkheTqA83TZRuJosgAsU,SAMO,0.92,orca,orca,0.000014,0.000014,26338,12324
2025-06-25 04:36:39,D7Z2fUrxECBh91chmnou8u7E9Yaq7inzzcjg9G1Apump,Salary,7.97,meteora,meteora,0.003081,0.003348,3226,33389
2025-06-25 04:36:39,D7Z2fUrxECBh91chmnou8u7E9Yaq7inzzcjg9G1Apump,Salary,4.95,meteora,meteora,0.000022,0.000023,1348,5479
2025-06-25 04:36:55,ENfpbQUM5xAnNP8ecyEQGFJ6KwbuPjMwv7ZjR29cDuAb,GOONC,1.18,meteora,meteora,0.000016,0.000017,65210,190963
2025-06-25 04:37:44,GCKTFLxkMeUTUbuQM1k6f1cy4o4tC2V13ye2ebL3p52r,$BEER2,4.32,meteora,meteora,0.000000,0.000000,4938,70996
